date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:38	787/787	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Nov%202023%2005:53:35%20GMT	https://kingsclub.in/xmlrpc.php?rsd	D:/club/kingsclub.in/xmlrpc0db0.php	(from https://kingsclub.in/)
11:23:38	2730/2730	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Nov%202023%2005:53:36%20GMT	https://kingsclub.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkingsclub.in%2F	D:/club/kingsclub.in/wp-json/oembed/1.0/embedf8c3.json	(from https://kingsclub.in/)
11:23:39	2820/2820	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Nov%202023%2005:53:36%20GMT	https://kingsclub.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkingsclub.in%2F&format=xml	D:/club/kingsclub.in/wp-json/oembed/1.0/embedbf75	(from https://kingsclub.in/)
11:23:40	69188/69188	---M--	200	added ('OK')	application/x-font-opentype	date:Tue,%2009%20Mar%202021%2010:11:25%20GMT	https://kingsclub.in/wp-content/uploads/2021/03/trajanpro-bold.otf	D:/club/kingsclub.in/wp-content/uploads/2021/03/trajanpro-bold.otf	(from https://kingsclub.in/)
11:23:40	206749/206749	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2008%20Nov%202023%2005:53:38%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/club/connect.facebook.net/en_US/fbevents.js	(from https://kingsclub.in/)
11:23:41	0/0	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Nov%202023%2005:53:38%20GMT	https://kingsclub.in/wp-content/plugins/3d-flipbook-dflip-lite/assets/	D:/club/kingsclub.in/wp-content/plugins/3d-flipbook-dflip-lite/assets/index.html	(from https://kingsclub.in/)
11:23:41	1476/1476	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Mar%202021%2013:40:43%20GMT	https://kingsclub.in/wp-content/uploads/2021/03/cropped-lion-new-32x32.png	D:/club/kingsclub.in/wp-content/uploads/2021/03/cropped-lion-new-32x32.png	(from https://kingsclub.in/)
11:23:41	7333/7333	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Mar%202021%2013:40:35%20GMT	https://kingsclub.in/wp-content/uploads/2021/03/cropped-lion-new-192x192.png	D:/club/kingsclub.in/wp-content/uploads/2021/03/cropped-lion-new-192x192.png	(from https://kingsclub.in/)
11:23:42	6709/6709	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Mar%202021%2013:40:36%20GMT	https://kingsclub.in/wp-content/uploads/2021/03/cropped-lion-new-180x180.png	D:/club/kingsclub.in/wp-content/uploads/2021/03/cropped-lion-new-180x180.png	(from https://kingsclub.in/)
11:23:42	16866/16866	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Nov%202022%2020:32:05%20GMT	https://kingsclub.in/wp-content/uploads/2020/12/logo-180x102.png	D:/club/kingsclub.in/wp-content/uploads/2020/12/logo-180x102.png	(from https://kingsclub.in/)
